Mateus Fernandes,pt POR,MF,20,36,34,"2,909",32.3,2,4,6,2.1,0,0.1,8,0.2
Kyle Walker-Peters,eng ENG,DF,27.0,33,33,"2,918",32.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0
Taylor Harwood-Bellis,eng ENG,DF,22.0,34,32,"2,825",31.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0
Aaron Ramsdale,eng ENG,GK,26.0,30,30,"2,700",30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jan Bednarek,pl POL,DF,28.0,30,30,"2,531",28.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0
Flynn Downes,eng ENG,MF,25.0,27,25,"2,151",23.9,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0
Joe Aribo,ng NGA,"MF,DF",28.0,32,21,"2,013",22.4,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
Tyler Dibling,eng ENG,"FW,MF",18.0,33,20,"1,874",20.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0
Lesley Ugochukwu,fr FRA,MF,20.0,26,18,"1,655",18.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0
Ryan Manning,ie IRL,"DF,MF",28.0,24,18,"1,462",16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Kamaldeen Sulemana,gh GHA,"FW,MF",22.0,26,17,"1,402",15.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
Jack Stephens,eng ENG,DF,30.0,19,17,"1,389",15.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
Yukinari Sugawara,jp JPN,"DF,MF",24.0,30,16,"1,557",17.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0
Adam Armstrong,eng ENG,"FW,MF",27.0,20,15,"1,248",13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0
Cameron Archer,eng ENG,FW,23.0,35,13,"1,441",16.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
James Bree,eng ENG,DF,26.0,17,13,"1,075",11.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Paul Onuachu,ng NGA,FW,30.0,25,11,"1,050",11.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0
Nathan Wood-Gordon,eng ENG,DF,22.0,11,9,773,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
William Smallbone,ie IRL,MF,24.0,18,6,690,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Welington,br BRA,DF,23.0,10,6,482,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alex McCarthy,eng ENG,GK,34.0,5,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,eng ENG,MF,36.0,14,5,361,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0
Ben Brereton,cl CHI,FW,25.0,10,4,449,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ross Stewart,sct SCO,FW,28.0,12,4,389,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Ryan Fraser,sct SCO,"FW,DF",30.0,8,4,306,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Charlie Taylor,eng ENG,DF,30.0,8,3,356,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joe Lumley,eng ENG,GK,29.0,3,3,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armel Bella Kotchap,de GER,DF,22.0,4,2,331,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Grønbaek,dk DEN,"FW,MF",23.0,4,2,143,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Robinson,eng ENG,"MF,FW",17.0,4,1,137,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwel Cornet,ci CIV,FW,27.0,2,1,72,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Samuel Edozie,eng ENG,"DF,FW",21.0,2,0,65,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18.0,2,0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joachim Kayi Sanda,fr FRA,DF,17.0,2,0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Edwards,eng ENG,DF,21.0,1,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Alcaraz,ar ARG,MF,21.0,1,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayden Moore,0,DF,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe O'Brien-Whitmarsh,ie IRL,MF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
