Matz Sels,be BEL,GK,32,38,38.1,"3,420",38.0,0,0.1,0.2,0.3,0.4,0.5,4,0.6
Nikola Milenković,rs SRB,DF,26,37,37,"3,330",37.0,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0
Murillo,br BRA,DF,22,36,36,"3,188",35.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0
Ola Aina,ng NGA,DF,27,35,35,"2,995",33.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0
Chris Wood,nz NZL,FW,32,36,35,"2,959",32.9,20.0,3.0,23.0,17.0,3.0,3.0,1.0,0.0
Morgan Gibbs-White,eng ENG,MF,24,34,34,"2,803",31.1,7.0,8.0,15.0,7.0,0.0,0.0,11.0,1.0
Elliot Anderson,eng ENG,MF,21,37,33,"2,728",30.3,2.0,6.0,8.0,2.0,0.0,0.0,10.0,0.0
Anthony Elanga,se SWE,"FW,MF",22,38,31,"2,501",27.8,6.0,11.0,17.0,6.0,0.0,0.0,1.0,0.0
Neco Williams,wls WAL,DF,23,35,28,"2,594",28.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0
Callum Hudson-Odoi,eng ENG,"FW,MF",23,31,25,"2,194",24.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0
Nicolás Domínguez,ar ARG,"MF,FW",26,34,23,"1,963",21.8,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0
Ryan Yates,eng ENG,MF,26,35,18,"1,915",21.3,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0
Álex Moreno,es ESP,"DF,MF",31,15,11,955,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Ibrahim Sangaré,ci CIV,MF,26,13,7,590,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
Morato,br BRA,DF,23,26,6,907,10.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Jota Silva,pt POR,"FW,MF",24,31,5,854,9.5,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0
James Ward-Prowse,eng ENG,MF,29,9,5,400,4.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
Danilo,br BRA,"MF,FW",23,8,5,275,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwo Awoniyi,ng NGA,FW,26,26,3,416,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Ramón Sosa,py PAR,"FW,MF",24,19,1,295,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Willy Boly,ci CIV,DF,33,6,1,150,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Harry Toffolo,eng ENG,DF,28,4,1,137,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eric da Silva Moreira,de GER,"MF,DF",18,2,0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Abbott,eng ENG,DF,18,0,0,,,,,,,,,,
Wayne Hennessey,wls WAL,GK,37,0,0,,,,,,,,,,
Carlos Miguel,br BRA,GK,25,0,0,,,,,,,,,,
Andrew Omobamidele,ie IRL,DF,22,0,0,,,,,,,,,,
